reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,card
0,37.666672,4.52,.033269908,124.9833,1,0,3,54,1,12,0
0,33.25,2.4200001,.0052169422,9.854167,0,0,3,34,1,13,0
0,33.666672,4.5,.0041555562,15,1,0,4,58,1,5,1
0,30.5,2.54,.065213777,137.8692,0,0,0,25,1,7,0
0,32.166672,9.7867002,.067050591,546.5033,1,0,2,64,1,5,0
0,23.25,2.5,.044438399,91.996674,0,0,0,54,1,1,1
0,27.91667,3.96,.01257576,40.833328,0,0,2,7,1,5,0
0,29.16667,2.3699999,.076433763,150.78999,1,0,0,77,1,3,1
0,37,3.8,.24562789,777.82172,1,0,0,97,1,6,1
0,28.41667,3.2,.019780001,52.580002,0,0,0,65,1,18,1
0,30.5,3.95,.078024559,256.66422,1,0,1,24,1,20,1
0,42,1.98,.00060606061,0,1,0,2,36,1,0,0
0,30,1.73,.0006936416,0,1,0,1,42,0,12,1
0,28.83333,2.45,.038795508,78.874168,1,0,0,26,1,3,1
0,35.333328,1.908,.02690671,42.615002,1,0,2,120,0,5,1
0,41.166672,3.2,.1258194,335.435,1,0,1,168,1,22,1
0,40.083328,4,.07481575,248.71919,1,0,2,96,1,0,1
7,29.5,3,.00039999999,0,1,0,2,60,1,8,0
0,39.5,9.9998999,.065794863,548.03497,1,1,0,28,1,0,1
3,45.75,3.4000001,.00035294119,0,0,0,0,28,1,10,0
0,35.25,2.3499999,.02238596,43.339169,1,0,2,115,1,1,0
1,25.16667,1.875,.00063999998,0,0,0,2,7,0,2,1
0,34.25,2,.13111199,218.52,1,0,0,12,1,0,1
1,35.75,4,.05119225,170.64079,0,0,2,18,1,22,1
0,42.666672,5.1399999,.0089494167,37.583328,1,0,2,13,1,17,1
0,30.25,4.506,.13374209,502.20169,0,0,2,38,1,7,1
0,21.66667,3.8399999,.00031249999,0,0,1,1,12,0,1,1
0,22.25,1.5,.058607999,73.176666,0,0,0,64,1,6,1
0,34.25,2.5,.00047999999,0,1,0,1,12,1,0,0
0,40,5.5,.3344596,1532.7729,1,0,4,74,1,19,1
0,21.83333,2.0272,.025320141,42.69083,0,0,0,9,0,5,1
1,29.41667,3.2,.1567194,417.83499,0,0,0,14,1,6,0
1,24.91667,3.1500001,.00038095241,0,1,0,1,40,1,5,1
0,21,2.4663,.26893279,552.72418,1,0,1,12,1,10,1
0,23.83333,3,.089015663,222.5392,0,0,0,12,1,5,1
0,42.833328,3.5411999,.1834562,541.29578,1,0,6,108,1,15,1
0,42.583328,2.2844999,.00052527903,0,0,0,2,46,1,0,1
0,36.583328,5.6999998,.1197419,568.77417,1,0,1,36,1,16,1
0,26.75,3.5,.1181043,344.47079,0,0,0,2,1,14,1
0,27.75,4.5999999,.1057439,405.35172,1,0,4,28,1,13,1
0,26.25,3,.124375,310.9375,1,0,0,7,1,10,1
0,23.33333,2.585,.02505764,53.645,0,0,0,8,1,1,1
0,29.91667,1.51,.051258281,63.916672,0,0,1,7,0,1,0
0,30,1.85,.1075816,165.855,0,0,0,60,1,12,1
0,38.333328,2.5999999,.004807692,9.583333,0,0,0,12,1,1,1
0,28.16667,1.8,.00066666672,0,0,1,2,26,1,2,1
0,35.583328,2,.192044,319.48999,0,0,0,156,1,4,1
0,37.75,3.2628,.00036778231,0,0,0,1,98,0,1,1
0,26.08333,2.3499999,.042851061,83.083344,0,0,1,30,0,2,1
0,27.75,7,.1105849,644.82831,1,0,0,0,1,13,1
0,49.75,3.5999999,.0003333333,0,0,0,2,12,0,0,0
0,24.25,2,.055968501,93.197502,0,0,0,18,1,12,1
0,20.66667,1.7,.074208237,105.045,0,0,0,6,1,4,0
0,23.75,2.8,.014875,34.125,0,0,2,48,1,8,1
0,25.75,2.4000001,.02071958,41.189171,0,0,0,34,1,2,1
1,32.916672,3,.068021998,169.88831,0,0,0,216,0,5,0
0,34.333328,4.8000002,.47450829,1898.033,0,0,3,12,1,1,1
0,33.25,3.1800001,.30580819,810.39172,0,0,4,18,0,3,1
0,44.666672,1.8,.00066666672,0,0,0,2,33,0,0,0
0,21.16667,1.5,.026553329,32.775002,0,0,0,20,1,4,0
2,25.08333,3,.038453002,95.799156,0,0,0,8,0,4,0
0,27.16667,2.28,.01492807,27.780001,0,0,3,36,1,5,1
0,26.41667,2.8,.092172503,215.0692,0,0,1,12,1,16,1
0,22,2.7,.035449259,79.510834,0,0,0,3,1,0,1
3,27.33333,4.9000001,.00024489799,0,1,0,2,16,1,15,1
0,26.16667,2.5,.00047999999,0,0,1,0,18,0,0,0
0,40.75,6,.06123966,306.03171,0,1,2,182,1,16,1
0,42.083328,3.9000001,.03221615,104.5358,0,0,0,78,1,2,0
0,21.66667,5.0999999,.00023529409,0,0,0,0,25,1,0,1
0,24.66667,3.0739999,.2508032,642.47418,0,0,0,4,1,0,1
0,30.75,2.4584999,.1503596,308.04919,1,0,2,53,1,16,1
0,27.41667,2,.111812,186.3533,0,0,0,9,1,5,1
0,33,3.2479999,.020898709,56.14917,0,0,2,144,0,2,1
0,37.333328,2.7249999,.057191931,129.37331,0,0,2,13,1,14,1
0,26.58333,2.2,.05078546,93.106667,0,0,0,144,1,10,1
1,24.33333,4.0999999,.0002926829,0,0,0,1,5,0,4,1
0,24.25,3.75,.093678929,292.6633,0,0,0,18,1,11,1
0,25.25,2.8800001,.041061461,98.464157,0,0,0,7,1,0,1
0,.5,3.05,.1017243,258.54919,0,0,1,94,1,5,0
0,32.833328,2.55,.04792941,101.6833,0,0,2,6,1,18,1
0,32.75,4,.00030000001,0,0,0,2,25,1,0,1
1,54.583328,2.6400001,.02984697,65.246674,1,0,1,78,1,19,0
0,19.58333,1.65,.079047874,108.6075,0,0,0,37,1,8,1
0,29.33333,2.4000001,.024944579,49.555828,0,0,0,30,1,4,1
3,40.166672,3.7098999,.00032345889,0,0,0,2,15,1,11,1
0,40.75,7.2399998,.039045021,235.5717,1,0,2,177,1,13,1
0,41.25,4.3860002,.00027359781,0,1,0,3,172,1,9,1
0,34.5,3.3,.00036363641,0,1,0,2,33,0,18,1
0,23.66667,2.3039999,.00052083342,0,0,0,1,12,1,0,0
1,53.666672,4.1799998,.00028708129,0,0,0,1,288,1,2,1
2,34,2.4875,.00048241211,0,0,0,1,87,1,3,1
0,44.916672,2.8055,.00042773131,0,1,0,5,4,1,0,0
0,43.416672,2.4000001,.034358751,68.384171,0,0,0,12,1,0,1
4,35.166672,1.5,.00079999998,0,0,0,1,7,1,9,1
2,35.833328,8.3999996,.0001428571,0,0,0,2,69,1,12,0
0,21.66667,1.5599999,.00076923083,0,0,0,0,12,1,2,0
1,32.666672,6,.094829999,474.14999,1,0,0,48,1,6,1
1,25.41667,3.5999999,.078043893,234.04829,0,0,2,12,1,4,0
0,26.25,5,.1082892,451.20499,1,0,0,5,1,16,1
0,46,5.5,.05487727,251.5208,1,0,2,161,1,7,1
1,35,9.9998999,.1101059,917.53998,1,0,0,72,1,29,1
0,35,4.5500002,.00026373629,0,1,0,3,36,1,15,1
0,20.91667,2.9000001,.00041379311,0,0,0,0,36,1,3,1
