alcohol,malic,ash,alcalinity,magnesium,phenols,flavanoids,nonflavanoid,proanthocyanins,intensity,hue,od280,proline
14.23,1.71,2.4300001,15.6,127,2.8,3.0599999,0.28,2.29,5.6399999,1.04,3.9200001,1065
13.2,1.78,2.1400001,11.2,100,2.6500001,2.76,0.25999999,1.28,4.3800001,1.05,3.4000001,1050
13.16,2.3599999,2.6700001,18.6,101,2.8,3.24,0.30000001,2.8099999,5.6799998,1.03,3.1700001,1185
14.37,1.95,2.5,16.799999,113,3.8499999,3.49,0.23999999,2.1800001,7.8000002,0.86000001,3.45,1480
13.24,2.5899999,2.8699999,21,118,2.8,2.6900001,0.38999999,1.8200001,4.3200002,1.04,2.9300001,735
14.2,1.76,2.45,15.2,112,3.27,3.3900001,0.34,1.97,6.75,1.05,2.8499999,1450
14.39,1.87,2.45,14.6,96,2.5,2.52,0.30000001,1.98,5.25,1.02,3.5799999,1290
14.06,2.1500001,2.6099999,17.6,121,2.5999999,2.51,0.31,1.25,5.0500002,1.0599999,3.5799999,1295
14.83,1.64,2.1700001,14,97,2.8,2.98,0.28999999,1.98,5.1999998,1.08,2.8499999,1045
13.86,1.35,2.27,16,98,2.98,3.1500001,0.22,1.85,7.2199998,1.01,3.55,1045
14.1,2.1600001,2.3,18,105,2.95,3.3199999,0.22,2.3800001,5.75,1.25,3.1700001,1510
14.12,1.48,2.3199999,16.799999,95,2.2,2.4300001,0.25999999,1.5700001,5,1.17,2.8199999,1280
13.75,1.73,2.4100001,16,89,2.5999999,2.76,0.28999999,1.8099999,5.5999999,1.15,2.9000001,1320
14.75,1.73,2.3900001,11.4,91,3.0999999,3.6900001,0.43000001,2.8099999,5.4000001,1.25,2.73,1150
14.38,1.87,2.3800001,12,102,3.3,3.6400001,0.28999999,2.96,7.5,1.2,3,1547
13.63,1.8099999,2.7,17.200001,112,2.8499999,2.9100001,0.30000001,1.46,7.3000002,1.28,2.8800001,1310
14.3,1.92,2.72,20,120,2.8,3.1400001,0.33000001,1.97,6.1999998,1.0700001,2.6500001,1280
13.83,1.5700001,2.6199999,20,115,2.95,3.4000001,0.40000001,1.72,6.5999999,1.13,2.5699999,1130
14.19,1.59,2.48,16.5,108,3.3,3.9300001,0.31999999,1.86,8.6999998,1.23,2.8199999,1680
13.64,3.0999999,2.5599999,15.2,116,2.7,3.03,0.17,1.66,5.0999999,0.95999998,3.3599999,845
14.06,1.63,2.28,16,126,3,3.1700001,0.23999999,2.0999999,5.6500001,1.09,3.71,780
12.93,3.8,2.6500001,18.6,102,2.4100001,2.4100001,0.25,1.98,4.5,1.03,3.52,770
13.71,1.86,2.3599999,16.6,101,2.6099999,2.8800001,0.27000001,1.6900001,3.8,1.11,4,1035
12.85,1.6,2.52,17.799999,95,2.48,2.3699999,0.25999999,1.46,3.9300001,1.09,3.6300001,1015
13.5,1.8099999,2.6099999,20,96,2.53,2.6099999,0.28,1.66,3.52,1.12,3.8199999,845
13.05,2.05,3.22,25,124,2.6300001,2.6800001,0.47,1.92,3.5799999,1.13,3.2,830
13.39,1.77,2.6199999,16.1,93,2.8499999,2.9400001,0.34,1.45,4.8000002,0.92000002,3.22,1195
13.3,1.72,2.1400001,17,94,2.4000001,2.1900001,0.27000001,1.35,3.95,1.02,2.77,1285
13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4000001,915
14.02,1.6799999,2.21,16,96,2.6500001,2.3299999,0.25999999,1.98,4.6999998,1.04,3.5899999,1035
13.73,1.5,2.7,22.5,101,3,3.25,0.28999999,2.3800001,5.6999998,1.1900001,2.71,1285
13.58,1.66,2.3599999,19.1,106,2.8599999,3.1900001,0.22,1.95,6.9000001,1.09,2.8800001,1515
13.68,1.83,2.3599999,17.200001,104,2.4200001,2.6900001,0.41999999,1.97,3.8399999,1.23,2.8699999,990
13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4000001,1.25,3,1235
13.51,1.8,2.6500001,19,110,2.3499999,2.53,0.28999999,1.54,4.1999998,1.1,2.8699999,1095
13.48,1.8099999,2.4100001,20.5,100,2.7,2.98,0.25999999,1.86,5.0999999,1.04,3.47,920
13.28,1.64,2.8399999,15.5,110,2.5999999,2.6800001,0.34,1.36,4.5999999,1.09,2.78,880
13.05,1.65,2.55,18,98,2.45,2.4300001,0.28999999,1.4400001,4.25,1.12,2.51,1105
13.07,1.5,2.0999999,15.5,98,2.4000001,2.6400001,0.28,1.37,3.7,1.1799999,2.6900001,1020
14.22,3.99,2.51,13.2,128,3,3.04,0.2,2.0799999,5.0999999,0.88999999,3.53,760
13.56,1.71,2.3099999,16.200001,117,3.1500001,3.29,0.34,2.3399999,6.1300001,0.94999999,3.3800001,795
13.41,3.8399999,2.1199999,18.799999,90,2.45,2.6800001,0.27000001,1.48,4.2800002,0.91000003,3,1035
13.88,1.89,2.5899999,15,101,3.25,3.5599999,0.17,1.7,5.4299998,0.88,3.5599999,1095
13.24,3.98,2.29,17.5,103,2.6400001,2.6300001,0.31999999,1.66,4.3600001,0.81999999,3,680
13.05,1.77,2.0999999,17,107,3,3,0.28,2.03,5.04,0.88,3.3499999,885
14.21,4.04,2.4400001,18.9,111,2.8499999,2.6500001,0.30000001,1.25,5.2399998,0.87,3.3299999,1080
14.38,3.5899999,2.28,16,102,3.25,3.1700001,0.27000001,2.1900001,4.9000001,1.04,3.4400001,1065
13.9,1.6799999,2.1199999,16,101,3.0999999,3.3900001,0.20999999,2.1400001,6.0999999,0.91000003,3.3299999,985
14.1,2.02,2.4000001,18.799999,103,2.75,2.9200001,0.31999999,2.3800001,6.1999998,1.0700001,2.75,1060
13.94,1.73,2.27,17.4,108,2.8800001,3.54,0.31999999,2.0799999,8.8999996,1.12,3.0999999,1260
13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.9100001,7.1999998,1.12,2.9100001,1150
13.83,1.65,2.5999999,17.200001,94,2.45,2.99,0.22,2.29,5.5999999,1.24,3.3699999,1265
